Country,Versus,Target,Score,Result
South Africa,Australia,435,438,L
South Africa,Australia,380,372,W
India,Australia,364,362,W
India,Australia,353,351,W
India,England,351,356,L
England,New Zealand,350,350,L
New Zealand,Australia,352,350,W
New Zealand,Australia,337,340,L
Australia,England,336,334,W
New Zealand,Australia,332,332,L
India,Australia,330,331,L
India,Pakistan,332,330,W
Zimbabwe,New Zealand,329,329,L
Ireland,England,330,329,W
South Africa,Australia,326,328,L
Pakistan,Bangladesh,330,329,W
